Device Name,Latitude,Longitude,Timestamp,Traffic Count
tre428,61.498942,23.784002,2024-11-12 07:30:50+02:00,60
tre428,61.498942,23.784002,2024-11-12 07:30:50+02:00,180
tre428,61.498942,23.784002,2024-11-12 07:30:50+02:00,60
tre412,61.50105,23.786898,2024-11-12 07:30:50+02:00,60
tre402,61.498975,23.779556,2024-11-12 07:30:50+02:00,240
tre402,61.498975,23.779556,2024-11-12 07:30:50+02:00,60
tre402,61.498975,23.779556,2024-11-12 07:30:50+02:00,180
tre402,61.498975,23.779556,2024-11-12 07:30:50+02:00,120
tre402,61.498975,23.779556,2024-11-12 07:30:50+02:00,60
tre402,61.498975,23.779556,2024-11-12 07:30:50+02:00,120
tre402,61.498975,23.779556,2024-11-12 07:30:50+02:00,60
tre115,61.494865,23.772034,2024-11-12 07:30:50+02:00,120
tre115,61.494865,23.772034,2024-11-12 07:30:50+02:00,180
tre158,61.497491,23.772112,2024-11-12 07:30:50+02:00,0
tre158,61.497491,23.772112,2024-11-12 07:30:50+02:00,120
tre227,61.498572,23.771758,2024-11-12 07:30:50+02:00,0
tre227,61.498572,23.771758,2024-11-12 07:30:50+02:00,300
tre227,61.498572,23.771758,2024-11-12 07:30:50+02:00,0
tre227,61.498572,23.771758,2024-11-12 07:30:50+02:00,180
tre227,61.498572,23.771758,2024-11-12 07:30:50+02:00,60
tre227,61.498572,23.771758,2024-11-12 07:30:50+02:00,0
tre327,61.501577,23.770451,2024-11-12 07:30:50+02:00,0
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,120
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,120
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,0
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,0
tre125,61.495275,23.783948,2024-11-12 07:30:50+02:00,0
tre125,61.495275,23.783948,2024-11-12 07:30:50+02:00,0
tre123,61.495199,23.790101,2024-11-12 07:30:50+02:00,0
tre123,61.495199,23.790101,2024-11-12 07:30:50+02:00,0
tre123,61.495199,23.790101,2024-11-12 07:30:50+02:00,120
tre123,61.495199,23.790101,2024-11-12 07:30:50+02:00,120
tre123,61.495199,23.790101,2024-11-12 07:30:50+02:00,0
tre123,61.495199,23.790101,2024-11-12 07:30:50+02:00,0
tre545,61.49507,23.79469,2024-11-12 07:30:50+02:00,300
tre545,61.49507,23.79469,2024-11-12 07:30:50+02:00,0
tre327,61.501577,23.770451,2024-11-12 07:30:50+02:00,0
tre545,61.49507,23.79469,2024-11-12 07:30:50+02:00,0
tre425,61.498271,23.792154,2024-11-12 07:30:50+02:00,0
tre425,61.498271,23.792154,2024-11-12 07:30:50+02:00,0
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,0
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,0
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,0
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,0
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,0
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,0
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,0
tre427,61.498287,23.787051,2024-11-12 07:30:50+02:00,0
tre545,61.49507,23.79469,2024-11-12 07:30:50+02:00,60
tre327,61.501577,23.770451,2024-11-12 07:30:50+02:00,120
tre125,61.495275,23.783948,2024-11-12 07:30:50+02:00,0
tre327,61.501577,23.770451,2024-11-12 07:30:50+02:00,180
tre327,61.501577,23.770451,2024-11-12 07:30:50+02:00,60
tre327,61.501577,23.770451,2024-11-12 07:30:50+02:00,120
tre123,61.495199,23.790101,2024-11-12 07:31:50+02:00,0
tre428,61.498942,23.784002,2024-11-12 07:31:50+02:00,180
tre327,61.501577,23.770451,2024-11-12 07:31:50+02:00,0
tre427,61.498287,23.787051,2024-11-12 07:31:50+02:00,0
tre402,61.498975,23.779556,2024-11-12 07:31:50+02:00,0
tre227,61.498572,23.771758,2024-11-12 07:31:50+02:00,120
tre158,61.497491,23.772112,2024-11-12 07:31:50+02:00,0
tre545,61.49507,23.79469,2024-11-12 07:31:50+02:00,360
tre428,61.498942,23.784002,2024-11-12 07:31:50+02:00,60
tre427,61.498287,23.787051,2024-11-12 07:31:50+02:00,0
tre227,61.498572,23.771758,2024-11-12 07:31:50+02:00,0
tre425,61.498271,23.792154,2024-11-12 07:31:50+02:00,0
tre327,61.501577,23.770451,2024-11-12 07:31:50+02:00,0
tre123,61.495199,23.790101,2024-11-12 07:31:50+02:00,0
tre428,61.498942,23.784002,2024-11-12 07:31:50+02:00,0
tre123,61.495199,23.790101,2024-11-12 07:31:50+02:00,0
tre227,61.498572,23.771758,2024-11-12 07:31:50+02:00,60
tre402,61.498975,23.779556,2024-11-12 07:31:50+02:00,120
tre402,61.498975,23.779556,2024-11-12 07:31:50+02:00,60
tre427,61.498287,23.787051,2024-11-12 07:31:50+02:00,0
tre402,61.498975,23.779556,2024-11-12 07:31:50+02:00,60
tre402,61.498975,23.779556,2024-11-12 07:31:50+02:00,120
tre123,61.495199,23.790101,2024-11-12 07:31:50+02:00,60
tre427,61.498287,23.787051,2024-11-12 07:31:50+02:00,60
tre123,61.495199,23.790101,2024-11-12 07:31:50+02:00,60
tre227,61.498572,23.771758,2024-11-12 07:31:50+02:00,60
